;USDRUB;VIX;BRENT;CDS
03.01.2012;31.6855;22.97;112.13;180.22
05.01.2012;32.0395;21.48;112.74;190.19
06.01.2012;31.9815;20.63;113.06;272.83
10.01.2012;31.5925;20.69;113.28;151.524
11.01.2012;31.7005;21.05;112.24;156.95
13.01.2012;31.873;20.91;110.44;254.76
17.01.2012;31.5805;22.2;111.53;252.83
18.01.2012;31.4445;20.89;110.66;252.13
19.01.2012;31.3075;19.87;111.55;238.98
20.01.2012;31.3405;18.28;109.86;239.45
23.01.2012;30.905;18.67;110.58;234.02
24.01.2012;30.7615;18.91;110.03;232.04
25.01.2012;30.564;18.31;109.81;230.07
26.01.2012;30.362;18.57;110.79;215.4
27.01.2012;30.0805;18.53;111.46;217.19
30.01.2012;30.38;19.4;110.75;221.19
31.01.2012;30.292;19.44;110.98;222.41
01.02.2012;30.175;18.55;111.56;276.73
02.02.2012;30.203;17.98;112.07;218.6
03.02.2012;30.1345;17.1;114.58;177.25
07.02.2012;29.8175;17.65;116.23;218.1
08.02.2012;29.749;18.16;117.2;176.13
10.02.2012;30.029;20.79;117.31;139.911
13.02.2012;29.9215;19.04;117.93;216.48
14.02.2012;30.0545;19.54;118.16;215.74
15.02.2012;30.101;21.14;118.93;216.38
16.02.2012;30.055;19.22;120.11;220.11
17.02.2012;29.9455;17.78;119.58;212.65
21.02.2012;29.7505;18.19;121.66;203.26
22.02.2012;29.699;18.19;122.9;202.75
23.02.2012;29.551;16.8;123.62;199.04
24.02.2012;29.1215;17.31;125.47;194.34
27.02.2012;29.0195;18.19;124.17;192.6
28.02.2012;29.0125;17.96;121.55;187.39
29.02.2012;29.2065;18.43;122.66;184.92
01.03.2012;29.136;17.26;126.2;269
02.03.2012;29.366;17.29;123.65;214.4
05.03.2012;29.3525;18.05;123.8;184.75
07.03.2012;29.624;19.07;124.12;210.95
08.03.2012;29.36;17.95;125.44;164.24
09.03.2012;29.44;17.11;125.98;168.31
12.03.2012;29.621;15.64;125.34;132.319
13.03.2012;29.44;14.8;126.22;171.4
14.03.2012;29.5845;15.31;124.97;168.43
15.03.2012;29.437;15.42;123.55;168.432
16.03.2012;29.2295;14.47;125.81;165.23
19.03.2012;29.1135;15.04;125.71;161.89
20.03.2012;29.254;15.58;124.12;164.22
21.03.2012;29.279;15.13;124.2;164.95
22.03.2012;29.4515;15.57;123.14;170.68
23.03.2012;29.265;14.82;125.13;174.68
26.03.2012;28.96;14.26;125.65;176.96
27.03.2012;29.0605;15.59;125.54;177.72
28.03.2012;29.3825;15.47;124.16;177.99
29.03.2012;29.4305;15.48;122.39;185.95
30.03.2012;29.3075;15.5;122.88;183.98
04.04.2012;29.446;16.44;122.34;181.76
05.04.2012;29.398;16.7;123.43;186.73
09.04.2012;29.609;18.81;122.67;164.53
10.04.2012;29.8395;20.39;119.88;139.624
12.04.2012;29.416;17.2;121.71;132.511
13.04.2012;29.6165;19.55;121.83;200.49
16.04.2012;29.605;19.55;118.68;200.786
17.04.2012;29.4975;18.46;118.78;195.97
18.04.2012;29.5325;18.64;117.97;197.708
19.04.2012;29.504;18.36;118;197.73
20.04.2012;29.456;17.44;118.76;198.73
23.04.2012;29.5035;18.97;118.71;202.732
24.04.2012;29.3655;18.1;118.16;199.03
25.04.2012;29.358;16.82;119.12;196.07
26.04.2012;29.3315;16.24;119.92;195.59
27.04.2012;29.319;16.32;119.83;195.34
30.04.2012;29.4085;17.15;119.47;194.89
01.05.2012;29.3365;16.6;119.66;281.88
03.05.2012;29.533;17.56;116.08;180.26
04.05.2012;29.7695;19.16;113.18;185.99
07.05.2012;30;18.94;113.16;214.64
09.05.2012;30.369;20.08;113.2;162.8
10.05.2012;30.1575;18.83;112.73;136.321
11.05.2012;30.165;19.89;112.26;158.986
14.05.2012;30.391;21.87;111.57;217.16
15.05.2012;30.679;21.97;112.24;232.83
16.05.2012;31.041;22.27;111.71;234.5
17.05.2012;31.1225;24.49;107.49;241.16
18.05.2012;31.3105;25.1;107.14;237.83
21.05.2012;31.117;22.01;108.81;239.01
22.05.2012;31.3775;22.48;108.41;229.5
23.05.2012;31.7372;22.33;105.56;244.16
24.05.2012;31.7935;21.54;106.55;243.05
25.05.2012;32.0905;21.76;106.83;249.16
29.05.2012;32.3005;21.03;106.68;246.83
30.05.2012;32.8247;24.14;103.47;256.5
31.05.2012;33.3365;24.06;101.87;263.83
01.06.2012;33.674;26.66;98.43;278.7
04.06.2012;33.4545;26.12;98.85;188.25
06.06.2012;32.3442;22.16;100.64;259.38
07.06.2012;32.463;21.72;99.93;224.38
08.06.2012;32.528;21.23;99.47;160.09
11.06.2012;32.75;23.56;98;155.775
12.06.2012;33.025;22.09;97.14;133.87
13.06.2012;32.472;24.27;97.13;234.92
14.06.2012;32.5;21.68;97.03;229.24
15.06.2012;32.375;21.11;97.61;224.52
18.06.2012;32.41;18.32;96.05;224.59
19.06.2012;32.385;18.38;95.76;214.62
20.06.2012;32.575;17.24;92.69;216.26
21.06.2012;33.182;20.08;89.23;228.44
22.06.2012;33.21;18.11;90.98;232.122
25.06.2012;33.235;20.38;91.01;240.59
26.06.2012;32.913;19.72;93.02;239.61
27.06.2012;32.966;19.45;93.5;237.15
28.06.2012;33.133;19.71;91.36;243.6
29.06.2012;32.395;17.08;97.8;229.76
02.07.2012;32.576;16.74;97.34;218.39
03.07.2012;32.224;16.66;100.68;189.49
05.07.2012;32.514;17.5;100.7;186.73
06.07.2012;32.87;17.1;98.19;248.01
09.07.2012;32.985;17.98;100.32;145.9
11.07.2012;32.708;17.95;100.23;158.01
12.07.2012;32.742;18.33;101.07;133.56
13.07.2012;32.562;16.74;102.4;205.63
16.07.2012;32.532;17.11;103.55;198.47
17.07.2012;32.35;16.48;104;189.03
18.07.2012;32.229;16.16;105.16;186.54
19.07.2012;31.827;15.45;107.8;184.09
20.07.2012;32.061;16.27;106.83;187.31
23.07.2012;32.67;18.62;103.26;206.5
24.07.2012;32.943;20.47;103.42;208.99
25.07.2012;32.651;19.34;104.38;204.57
26.07.2012;32.357;17.53;105.26;191.17
27.07.2012;32.035;16.7;106.47;185.98
30.07.2012;32.177;18.03;106.2;179.07
31.07.2012;32.211;18.93;104.92;177.13
02.08.2012;32.66;17.57;105.9;215.93
03.08.2012;31.99;15.64;108.94;181.92
06.08.2012;31.578;15.95;109.55;253.24
08.08.2012;31.533;15.32;112.14;163.83
10.08.2012;31.83;14.74;112.95;137.03
13.08.2012;31.874;13.7;113.6;171.35
14.08.2012;31.844;14.85;114.03;172.36
15.08.2012;31.869;14.63;116.25;171.89
16.08.2012;31.859;14.29;116.9;170.17
17.08.2012;32.038;13.45;113.71;172.664487
20.08.2012;32.059;14.02;113.7;170.23
21.08.2012;31.765;15.02;114.64;163.05
22.08.2012;31.784;15.11;114.91;164.05
23.08.2012;31.695;15.96;115.01;165.07
24.08.2012;31.815;15.18;113.59;166.58
27.08.2012;31.9;16.35;112.26;166.62
28.08.2012;31.993;16.49;112.58;166.4
29.08.2012;32.213;17.06;112.54;166.41
30.08.2012;32.559;17.83;112.65;168.41
31.08.2012;32.25;17.47;114.57;167.19
04.09.2012;32.297;17.98;114.18;189.95
05.09.2012;32.296;17.74;113.09;204.16
07.09.2012;31.665;14.38;114.25;219.41
10.09.2012;31.677;16.28;114.81;143.344
11.09.2012;31.515;16.41;115.4;157.55
13.09.2012;31.074;14.05;116.9;137.59
14.09.2012;30.503;14.51;116.66;126.37
17.09.2012;30.634;14.59;113.79;129.4
18.09.2012;30.911;14.18;112.03;131.095
19.09.2012;31.209;13.88;108.19;130.115
20.09.2012;31.237;14.07;110.03;140.98
21.09.2012;31.041;13.98;111.42;139.64
24.09.2012;31.143;14.15;109.81;147.02
25.09.2012;31.2;15.43;110.45;154.64
26.09.2012;31.311;16.81;110.04;160.12
27.09.2012;30.988;14.84;112.01;156.66
28.09.2012;31.185;15.73;112.39;154.696
01.10.2012;31.2;16.32;112.19;262.69
02.10.2012;31.135;15.71;111.57;220.18
04.10.2012;30.985;14.55;112.58;201.73
05.10.2012;31.008;14.33;112.02;202.83
08.10.2012;31.184;15.11;111.82;170.32
09.10.2012;31.145;16.37;114.5;139.5
10.10.2012;31.117;16.29;114.33;143.344
12.10.2012;31.11;16.14;114.62;135.6
15.10.2012;31.006;15.27;115.8;139.502
16.10.2012;30.859;15.22;115.07;131.897
17.10.2012;30.753;15.07;113.22;127.628
18.10.2012;30.8;15.03;112.42;130.29
19.10.2012;30.892;17.06;110.14;133.62
22.10.2012;31.107;16.62;109.44;143.28
23.10.2012;31.382;18.83;108.25;157.19
24.10.2012;31.435;18.33;107.85;157.195
25.10.2012;31.38;18.12;108.49;157.1
26.10.2012;31.398;17.81;109.55;156.35
31.10.2012;31.343;18.6;108.7;158.166
01.11.2012;31.287;16.69;108.17;253.95
05.11.2012;31.608;18.42;107.73;206.93
06.11.2012;31.373;17.58;111.07;248.58
07.11.2012;31.58;19.08;106.82;210.51
09.11.2012;31.575;18.61;109.4;135.56
12.11.2012;31.61;16.68;109.07;134.297
13.11.2012;31.752;16.65;108.26;149.33
14.11.2012;31.706;17.92;109.61;147.69
15.11.2012;31.666;17.99;110.98;151.68
16.11.2012;31.71;16.41;108.95;155.342
19.11.2012;31.415;15.24;111.7;149.44
20.11.2012;31.306;15.08;109.83;148.795
21.11.2012;31.183;15.31;110.86;147.82
23.11.2012;31.05;15.14;111.38;145.545
26.11.2012;31.008;15.5;110.92;145.596
27.11.2012;31.045;15.92;109.87;143.29
28.11.2012;31.07;15.51;109.51;144.646
29.11.2012;30.872;15.06;110.76;137.722
30.11.2012;30.865;15.87;111.23;136.4
03.12.2012;30.882;16.64;110.92;178.48
04.12.2012;30.84;17.12;109.84;197.03
06.12.2012;30.953;16.58;107.03;247.85
07.12.2012;30.826;15.9;107.02;209.82
10.12.2012;30.791;16.05;107.33;141.095
11.12.2012;30.707;15.57;108.01;156.85
12.12.2012;30.549;15.95;109.5;133.984
13.12.2012;30.736;16.56;107.91;134.001
14.12.2012;30.707;17;109.15;134.018
17.12.2012;30.979;16.34;107.64;134.407
18.12.2012;30.74;15.57;108.84;128.461
19.12.2012;30.765;17.36;110.36;126.493
20.12.2012;30.703;17.67;110.2;126.777
21.12.2012;30.828;17.84;108.97;131.05
24.12.2012;30.633;18.59;108.8;131.113
26.12.2012;30.587;19.48;111.07;130.224
27.12.2012;30.365;19.47;110.8;131.17
28.12.2012;30.369;22.72;110.62;132.51
31.12.2012;30.558;18.02;111.11;132.578
02.01.2013;30.175;14.68;112.47;138.558
03.01.2013;30.25;14.56;112.14;154.896
